,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
